AREA,AREA_TITLE,GeoFIPS,GeoName,match_rule
23900,"Gettysburg, PA",23900,"Gettysburg, PA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
24020,"Glens Falls, NY",24020,"Glens Falls, NY (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
24140,"Goldsboro, NC",24140,"Goldsboro, NC (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
24220,"Grand Forks, ND-MN",24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
24260,"Grand Island, NE",24260,"Grand Island, NE (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
24300,"Grand Junction, CO",24300,"Grand Junction, CO (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
24340,"Grand Rapids-Wyoming-Kentwood, MI",24340,"Grand Rapids-Wyoming-Kentwood, MI (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
24420,"Grants Pass, OR",24420,"Grants Pass, OR (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
24500,"Great Falls, MT",24500,"Great Falls, MT (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
24540,"Greeley, CO",24540,"Greeley, CO (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
24580,"Green Bay, WI",24580,"Green Bay, WI (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
24660,"Greensboro-High Point, NC",24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
24780,"Greenville, NC",24780,"Greenville, NC (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
24860,"Greenville-Anderson-Greer, SC",24860,"Greenville-Anderson-Greer, SC (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
25060,"Gulfport-Biloxi, MS",25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
25180,"Hagerstown-Martinsburg, MD-WV",25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
25220,"Hammond, LA",25220,"Hammond, LA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
25260,"Hanford-Corcoran, CA",25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
25420,"Harrisburg-Carlisle, PA",25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
25500,"Harrisonburg, VA",25500,"Harrisonburg, VA (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
25540,"Hartford-West Hartford-East Hartford, CT",25540,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
25620,"Hattiesburg, MS",25620,"Hattiesburg, MS (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
25740,"Helena, MT",25740,"Helena, MT (Metropolitan Statistical Area)",exact_AREA_eq_GeoFIPS
