AREA,AREA_TITLE,AREA_TYPE,OCC_CODE,OCC_TITLE,O_GROUP,A_MEAN,A_MEDIAN,A_PCT25,A_PCT75,TOT_EMP
12420,"Austin-Round Rock-San Marcos, TX",4,43-3061,Procurement Clerks,detailed,51050,49580,42990,61830,350
12420,"Austin-Round Rock-San Marcos, TX",4,43-3071,Tellers,detailed,41390,43580,37060,44880,1710
12420,"Austin-Round Rock-San Marcos, TX",4,43-3099,"Financial Clerks, All Other",detailed,50960,37560,36900,59650,230
12420,"Austin-Round Rock-San Marcos, TX",4,43-4011,Brokerage Clerks,detailed,67080,64920,51200,73230,180
12420,"Austin-Round Rock-San Marcos, TX",4,43-4031,"Court, Municipal, and License Clerks",detailed,49870,49400,46030,54260,1710
12420,"Austin-Round Rock-San Marcos, TX",4,43-4041,"Credit Authorizers, Checkers, and Clerks",detailed,47880,48060,44760,51670,**
12420,"Austin-Round Rock-San Marcos, TX",4,43-4051,Customer Service Representatives,detailed,43090,39770,34430,48260,31430
12420,"Austin-Round Rock-San Marcos, TX",4,43-4061,"Eligibility Interviewers, Government Programs",detailed,51710,49230,40640,63190,1780
12420,"Austin-Round Rock-San Marcos, TX",4,43-4071,File Clerks,detailed,43770,40570,32320,51720,1030
12420,"Austin-Round Rock-San Marcos, TX",4,43-4081,"Hotel, Motel, and Resort Desk Clerks",detailed,32830,32900,28970,35770,2130
12420,"Austin-Round Rock-San Marcos, TX",4,43-4111,"Interviewers, Except Eligibility and Loan",detailed,42550,42920,32870,48170,1340
12420,"Austin-Round Rock-San Marcos, TX",4,43-4121,"Library Assistants, Clerical",detailed,36280,36460,32140,40260,90
12420,"Austin-Round Rock-San Marcos, TX",4,43-4131,Loan Interviewers and Clerks,detailed,53170,50950,47300,59530,2030
12420,"Austin-Round Rock-San Marcos, TX",4,43-4151,Order Clerks,detailed,45600,42040,38040,52500,580
12420,"Austin-Round Rock-San Marcos, TX",4,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,45500,46760,37740,55880,570
12420,"Austin-Round Rock-San Marcos, TX",4,43-4171,Receptionists and Information Clerks,detailed,36650,36170,30320,41690,7630
12420,"Austin-Round Rock-San Marcos, TX",4,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detailed,49890,45960,38470,58190,430
12420,"Austin-Round Rock-San Marcos, TX",4,43-4199,"Information and Record Clerks, All Other",detailed,44780,42040,40640,47220,2730
12420,"Austin-Round Rock-San Marcos, TX",4,43-5011,Cargo and Freight Agents,detailed,52520,47580,40490,62350,260
12420,"Austin-Round Rock-San Marcos, TX",4,43-5021,Couriers and Messengers,detailed,40450,39910,35570,45050,350
12420,"Austin-Round Rock-San Marcos, TX",4,43-5031,Public Safety Telecommunicators,detailed,57630,59670,50480,60730,610
12420,"Austin-Round Rock-San Marcos, TX",4,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detailed,51540,47810,38970,60160,1530
12420,"Austin-Round Rock-San Marcos, TX",4,43-5041,"Meter Readers, Utilities",detailed,48470,44760,40670,52630,60
12420,"Austin-Round Rock-San Marcos, TX",4,43-5051,Postal Service Clerks,detailed,58780,58950,53350,67560,350
12420,"Austin-Round Rock-San Marcos, TX",4,43-5052,Postal Service Mail Carriers,detailed,60760,59610,46030,75300,1940
12420,"Austin-Round Rock-San Marcos, TX",4,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,59160,57490,49210,72970,580
